Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Medication,Description
0,fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Fungal infection is a common skin condition caused by fungi.
1,fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Fungal infection is a common skin condition caused by fungi.
2,fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Fungal infection is a common skin condition caused by fungi.
3,fungal infection,itching, skin_rash, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Fungal infection is a common skin condition caused by fungi.
4,fungal infection,itching, skin_rash, nodal_skin_eruptions,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Fungal infection is a common skin condition caused by fungi.
5,fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Fungal infection is a common skin condition caused by fungi.
6,fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Fungal infection is a common skin condition caused by fungi.
7,fungal infection,itching, skin_rash, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Fungal infection is a common skin condition caused by fungi.
8,fungal infection,itching, skin_rash, nodal_skin_eruptions,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Fungal infection is a common skin condition caused by fungi.
9,fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Fungal infection is a common skin condition caused by fungi.
10,allergy, continuous_sneezing, shivering, chills, watering_from_eyes,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
